,cls 0,cls 1,cls 2,cls 3,cls 4,mean,model,type,n_DB
shhs1-203272,0.864661634,0.888888896,0.59375,0.870748281,0.364640892,0.716537941,TinyUStaging,EEG+EOG,6
shhs1-200287,0.851132691,0.894613564,0,0.779661,0.899022818,0.684886014,TinyUStaging,EEG+EOG,6
shhs1-202549,0.884488463,0.917159736,0.608695626,0.936601877,0.827956975,0.834980536,TinyUStaging,EEG+EOG,6
shhs2-203998,0.990990996,0.933035731,0.5,0.858257473,0.778666675,0.812190175,TinyUStaging,EEG+EOG,6
shhs1-201606,0.927152336,0.851485133,0.560747683,0.874045789,0.739884377,0.790663064,TinyUStaging,EEG+EOG,6
shhs1-203017,0.950520813,0.948275864,0.537931025,0.836004913,0.671232879,0.788793099,TinyUStaging,EEG+EOG,6
shhs1-203803,0.885185182,0.938053071,0.533333361,0.864864886,0.862745106,0.816836321,TinyUStaging,EEG+EOG,6
shhs1-201174,0.93732971,0.876237631,0.376811594,0.889696956,0.918489039,0.799712986,TinyUStaging,EEG+EOG,6
shhs1-204718,0.929319382,0.798941791,0.466666669,0.864306808,0.808080792,0.773463088,TinyUStaging,EEG+EOG,6
shhs2-205311,0.97735852,0.943005204,0.434782594,0.859060407,0.597402573,0.76232186,TinyUStaging,EEG+EOG,6
shhs1-204787,0.9375,0.902934551,0.363636374,0.885245919,0.882235527,0.794310474,TinyUStaging,EEG+EOG,6
shhs1-202766,0.972677588,0.9375,0.166666672,0.791390717,0.71009773,0.715666541,TinyUStaging,EEG+EOG,6
shhs1-205115,0.837696314,0.900302112,0.310344815,0.824444473,0.806539536,0.73586545,TinyUStaging,EEG+EOG,6
shhs1-203986,0.915032685,0.957446814,0.459016383,0.906832278,0.870270252,0.821719682,TinyUStaging,EEG+EOG,6
shhs2-200668,0.861959934,0.927536249,0.457831323,0.737945497,0.25555557,0.648165715,TinyUStaging,EEG+EOG,6
shhs2-205260,0.97719872,0.948529422,0.709677398,0.891304374,0.86153847,0.877649677,TinyUStaging,EEG+EOG,6
shhs2-205045,0.949999988,0.913649023,0.700854719,0.875949383,0.835748792,0.855240381,TinyUStaging,EEG+EOG,6
shhs2-203997,0.956403255,0.890140831,0.590909064,0.945736408,0.837209284,0.844079769,TinyUStaging,EEG+EOG,6
shhs1-203850,0.948545873,0.868131876,0.680000007,0.914893627,0.915942013,0.865502679,TinyUStaging,EEG+EOG,6
shhs1-205335,0.902173936,0.847457647,0.574850321,0.87308532,0.660869539,0.771687353,TinyUStaging,EEG+EOG,6
shhs1-204329,0.88657105,0.943820238,0.372881353,0.864583313,0.584070802,0.730385351,TinyUStaging,EEG+EOG,6
shhs1-201650,0.864321589,0.945121944,0.410958916,0.899909854,0.808080792,0.785678619,TinyUStaging,EEG+EOG,6
shhs1-201310,0.958677709,0.967164159,0.5,0.77360934,0.460992903,0.732088822,TinyUStaging,EEG+EOG,6
shhs2-205115,0.951219499,0.891304374,0.584905684,0.928294599,0.848837197,0.840912271,TinyUStaging,EEG+EOG,6
shhs1-202600,0.987704933,0.953929543,0.5,0.876106203,0.926004231,0.848748982,TinyUStaging,EEG+EOG,6
shhs1-202219,0.823529422,0.860655725,0.053333335,0.670103073,0.496350378,0.580794387,TinyUStaging,EEG+EOG,6
shhs1-201667,0.902463078,0.862745106,0.181818187,0.733333349,0.58227849,0.652527642,TinyUStaging,EEG+EOG,6
shhs1-205132,0.983766258,0.980821908,0.805555582,0.767550707,0.535211265,0.814581144,TinyUStaging,EEG+EOG,6
shhs1-201915,0.900662243,0.903654456,0.543209851,0.812967598,0.796296299,0.791358089,TinyUStaging,EEG+EOG,6
shhs2-204949,0.988207519,0.924324334,0.479999989,0.861714303,0.804020107,0.81165325,TinyUStaging,EEG+EOG,6
shhs1-201265,0.880398691,0.827067673,0.429906547,0.89479059,0.847926259,0.776017952,TinyUStaging,EEG+EOG,6
shhs2-204065,0.93617022,0.875576019,0.45161289,0.893121719,0.678899109,0.767075992,TinyUStaging,EEG+EOG,6
shhs2-201969,0.914016485,0,0,0.450856626,0,0.272974622,TinyUStaging,EEG+EOG,6
