,mean,std,min,max
cls 0,0.8472638044058515,0.15729662633925487,0.1492537260055542,0.997718632221222
cls 1,0.8453213070548072,0.18323780497765182,0.0,0.9900990128517152
cls 2,0.46956091669514355,0.17073799124409914,0.0,0.8126316070556641
cls 3,0.8320055562059593,0.09496578136232356,0.19622641801834104,0.9491525292396544
cls 4,0.6804975543362208,0.26249289440604257,0.0,0.9814814925193788
